Source,Target,Path,Steps
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,16
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,16
population growth rate,service time,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,16
population growth rate,service time,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,16
population growth rate,service time,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,16
population growth rate,service time,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,16
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,16
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,16
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,15
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,15
planning approvals,opex recovery,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,15
planning approvals,opex recovery,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,15
population growth rate,opex recovery,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,15
population growth rate,opex recovery,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,15
population growth rate,opex recovery,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,15
population growth rate,pumping efficiency,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,15
population growth rate,pumping efficiency,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,15
population growth rate,supply security,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,15
population growth rate,supply security,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,15
population growth rate,supply security,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,15
population growth rate,supply security,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,15
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,15
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,15
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,15
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,15
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,15
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,15
urbanization,energy consumption per year,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,15
urbanization,energy consumption per year,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,15
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,15
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,15
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,15
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,15
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,15
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,15
urbanization,service time,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,15
urbanization,service time,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,15
urbanization,service time,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,15
urbanization,service time,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,15
housing demand,energy consumption per year,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,14
housing demand,energy consumption per year,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,14
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,14
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,14
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,14
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,14
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,14
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,14
housing demand,service time,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,14
housing demand,service time,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,14
housing demand,service time,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,14
housing demand,service time,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,14
new housing units completed,opex recovery,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,14
new housing units completed,opex recovery,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,14
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,14
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,14
population growth rate,area affected by drought,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> area affected by drought,14
population growth rate,area affected by drought,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> area affected by drought,14
population growth rate,energy consumption per year,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year,14
population growth rate,energy consumption per year,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year,14
population growth rate,total pump installed capacity,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,14
population growth rate,total pump installed capacity,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,14
population growth rate,total water production,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,14
population growth rate,total water production,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,14
population growth rate,total water production,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,14
population growth rate,total water production,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,14
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,14
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,14
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,14
urbanization,opex recovery,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,14
urbanization,opex recovery,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,14
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,14
urbanization,pumping efficiency,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,14
urbanization,pumping efficiency,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,14
urbanization,supply security,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,14
urbanization,supply security,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,14
urbanization,supply security,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,14
urbanization,supply security,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,14
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,14
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,14
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,14
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,14
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,14
urbanization,unitary opex,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,14
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,13
housing demand,pumping efficiency,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,13
housing demand,pumping efficiency,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,13
housing demand,supply security,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,13
housing demand,supply security,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,13
housing demand,supply security,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,13
housing demand,supply security,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,13
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,13
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,13
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,13
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,13
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,13
